ENSG chr ENSGStart ENSGEnd O0 O20 O60 O2H O4H O24H N0 N20 N60 N2H N4H N24H
ENSG00000164483 chr6 130144315 130365425 1609 411 392 471 429 170 676 630 1023 671 772 84
ENSG00000164484 chr6 130365734 130443063 29 25 69 192 205 27 35 26 207 132 339 24
ENSG00000164494 chr6 107152557 107459564 438 282 340 552 959 2750 745 507 1476 850 1946 1634
ENSG00000164500 chr7 50096036 50159830 19 7 13 16 21 0 9 10 39 25 30 5
ENSG00000164509 chr5 55851379 55922853 50 10 18 3 35 73 2 2 4 5 5 1
ENSG00000164512 chr5 56099678 56233359 315 114 108 87 30 28 324 313 333 228 138 23
ENSG00000164530 chr6 36948263 36964837 52 5 27 11 13 2 45 24 82 54 32 2
ENSG00000164535 chr7 6409126 6484190 562 357 469 525 335 550 996 743 1458 711 448 564
ENSG00000164542 chr7 36324221 36390125 125 147 145 41 16 81 260 214 428 107 32 80
ENSG00000164543 chr7 43582758 43626786 7179 4404 5757 3891 2164 1804 11548 8872 17162 7798 4691 1398
ENSG00000164556 chr7 38685346 38687037 12 9 11 2 0 7 18 26 20 3 4 3
ENSG00000164574 chr5 154190730 154420984 1716 934 1546 1920 1840 3119 2306 1656 4619 2398 3184 2219
ENSG00000164576 chr5 154445957 154461054 892 323 210 198 251 496 616 666 775 465 592 473
ENSG00000164587 chr5 150443190 150449756 61073 13650 12235 13119 13627 21767 32260 29798 32244 38936 29197 22448
ENSG00000164588 chr5 45254950 45696498 0 2 10 4 0 7 3 1 10 2 7 2
ENSG00000164597 chr7 107201555 107564514 4852 3541 2845 2605 2965 5156 10283 7371 11872 3938 6752 3585
ENSG00000164603 chr7 112819147 112939916 881 424 600 546 378 732 1279 933 2618 1175 753 451
ENSG00000164610 chr7 33094797 33109401 487 151 180 255 367 374 338 287 507 343 780 586
ENSG00000164611 chr5 160421822 160428744 217 80 60 100 49 337 170 172 163 141 141 432
ENSG00000164615 chr5 134738501 134752160 1771 629 443 327 286 533 1375 1019 1413 829 690 491
ENSG00000164619 chr7 33904911 34155872 8 9 7 3 1 4 8 13 9 3 1 0
ENSG00000164626 chr6 39188973 39229450 46 27 38 167 823 1010 29 16 51 119 1673 805
ENSG00000164627 chr6 39329990 39725405 1 2 0 2 4 13 3 2 4 0 6 19
ENSG00000164649 chr7 21900900 21946084 444 115 143 198 161 1711 182 154 295 188 374 1886
ENSG00000164654 chr7 7566872 7608929 1061 491 668 953 864 1575 1415 1025 2745 2369 3092 1876
ENSG00000164659 chr7 86876906 87059699 1511 958 1416 1379 737 453 1884 1364 3382 1263 925 157
ENSG00000164663 chr6 41789896 41895361 136 95 92 102 167 452 331 219 354 149 218 345
ENSG00000164669 chr7 65141225 65234216 5 2 4 1 2 8 4 4 6 4 6 2
ENSG00000164674 chr6 158650014 158764876 4782 3074 4084 2779 1198 5849 7373 5458 14073 4965 3445 5085
ENSG00000164675 chr7 123452400 123535077 2 4 3 7 4 11 13 7 37 15 9 3
ENSG00000164683 chr8 79764010 79767863 0 2 0 2 3 0 2 1 5 4 6 0
ENSG00000164687 chr8 81280363 81284777 84 37 24 64 256 1012 64 40 77 88 799 1290
ENSG00000164692 chr7 94394561 94431232 4 5 3 3 9 3 4 3 7 10 23 6
ENSG00000164708 chr7 44062727 44065587 28 16 21 12 9 1 17 7 14 2 14 3
ENSG00000164713 chr7 98252379 98310441 1546 677 642 673 615 868 1362 1135 1720 960 968 692
ENSG00000164715 chr7 98106885 98209633 3074 1973 2008 1666 1658 1897 4964 3868 6018 2712 2950 1676
ENSG00000164733 chr8 11842524 11869448 3013 851 1164 2412 2923 4107 1432 987 2211 2262 2477 2393
ENSG00000164744 chr7 47987148 48029119 5 2 4 4 1 2 11 6 8 2 4 2
ENSG00000164746 chr7 48035511 48061304 14 6 12 13 6 0 26 19 56 19 38 10
ENSG00000164751 chr8 76980258 77001044 802 359 343 258 174 986 1079 805 1221 684 479 1071
ENSG00000164754 chr8 116845935 116874866 9537 3110 2488 2025 1909 5844 8353 6412 7741 5848 5002 6333
ENSG00000164756 chr8 116950273 117176714 2 3 1 1 1 5 4 6 11 10 4 5
ENSG00000164758 chr8 117520713 117540262 1142 489 256 175 135 534 1500 1042 941 473 408 612
ENSG00000164776 chr7 56080283 56092996 539 321 257 137 61 63 809 649 712 153 107 68
ENSG00000164796 chr8 112222928 113437099 3 3 6 5 4 2 3 2 8 8 5 0
ENSG00000164808 chr8 47260575 47736306 2241 1001 740 683 851 6437 2148 1665 2236 1084 1863 4790
ENSG00000164815 chr7 104126341 104208047 558 314 319 351 371 1781 838 609 1515 861 896 1827
ENSG00000164818 chr7 726701 786475 263 159 206 414 822 2192 390 322 840 579 1427 2730
ENSG00000164823 chr8 89901859 89927888 801 253 246 248 285 649 734 530 901 578 849 734
ENSG00000164828 chr7 816615 896435 1294 873 1490 2225 2725 1865 2761 2082 5811 3877 6111 2036
ENSG00000164830 chr8 106359476 106752694 1706 811 588 502 632 685 2128 1546 1541 856 932 672
ENSG00000164845 chr12 8232512 8242948 19 11 10 13 10 25 26 19 40 11 14 48
ENSG00000164849 chr7 1044576 1059261 136 59 55 61 43 3 128 95 206 120 82 7
ENSG00000164850 chr7 1082208 1093815 2 4 3 4 12 2 1 0 6 6 2 0
ENSG00000164855 chr7 1542235 1560821 9 20 15 12 10 5 1 2 0 0 11 1
ENSG00000164867 chr7 150990995 151014588 137 37 41 27 6 101 112 62 55 16 5 138
ENSG00000164877 chr7 1428465 1459502 31 25 24 22 25 37 57 48 85 22 29 42
ENSG00000164879 chr8 85373436 85449040 5 5 3 2 1 34 6 6 13 0 3 13
ENSG00000164880 chr7 1470277 1504367 1658 811 1126 1038 1359 2764 2706 2197 3758 1919 2599 3916
ENSG00000164885 chr7 151053812 151058530 49 18 14 10 3 309 28 22 38 18 20 363
ENSG00000164889 chr7 151057210 151076527 294 86 105 188 306 1637 198 121 199 204 372 2116
ENSG00000164896 chr7 151076593 151080866 617 267 208 265 443 1148 776 652 1002 626 814 1838
ENSG00000164897 chr7 151081080 151083546 729 175 187 201 194 606 413 329 472 341 313 799
ENSG00000164898 chr7 139339457 139346319 42 5 8 4 13 26 19 11 13 5 14 24
ENSG00000164904 chr5 126531200 126595418 31 7 8 24 9 14 25 17 34 8 1 53
ENSG00000164916 chr7 4682309 4771443 5142 2982 2566 2595 3056 2930 6406 4988 6694 3506 4738 2916
ENSG00000164919 chr8 99873200 99894062 2006 622 474 462 555 1798 1540 1123 1500 977 1462 1761
ENSG00000164920 chr8 98944403 98952104 10 5 2 1 0 0 2 3 8 0 0 0
ENSG00000164924 chr8 100916525 100953388 32773 13232 11785 12508 11173 16635 32488 26139 41424 34412 33943 23593
ENSG00000164929 chr8 103140710 103230305 34 20 18 122 292 189 33 26 24 19 25 3
ENSG00000164933 chr8 103398635 103415189 473 399 657 840 1389 2764 1029 814 2107 1863 3132 3047
ENSG00000164934 chr8 103414714 103443453 520 341 361 694 1147 3966 907 624 1594 1648 3267 4046
ENSG00000164938 chr8 94925972 94949411 4015 1480 1358 1183 701 113 2397 1753 2368 1577 1248 61
ENSG00000164941 chr8 94813311 94881746 1826 1003 729 586 632 2395 2531 2101 2797 1594 1597 2634
ENSG00000164944 chr8 94487693 94553529 2959 1269 1463 1502 1279 3052 4117 3217 5200 3357 3233 3076
ENSG00000164946 chr9 14734666 14910995 11 6 1 5 2 11 15 11 8 2 3 0
ENSG00000164951 chr8 93857807 93926066 1443 485 765 1311 709 401 986 791 2785 3184 1878 288
ENSG00000164953 chr8 93754844 93819234 191 193 372 328 212 238 457 347 1441 588 431 297
ENSG00000164961 chr8 125024260 125091840 1420 890 897 750 802 2233 2995 2303 3773 1727 1962 2380
ENSG00000164967 chr9 34610486 34612104 57 19 27 45 93 141 44 40 80 100 134 128
ENSG00000164970 chr9 34398184 34458570 266 184 222 293 326 2035 538 422 948 490 745 1099
ENSG00000164972 chr9 34379019 34397832 9 1 6 1 3 20 6 3 19 5 9 11
ENSG00000164975 chr9 15422704 15465953 357 171 158 265 249 902 433 222 936 679 676 1108
ENSG00000164976 chr9 34366670 34376853 17 7 10 15 11 43 24 20 26 23 14 44
ENSG00000164978 chr9 34329506 34343713 242 58 74 100 120 567 193 106 249 198 261 481
ENSG00000164983 chr8 124306189 124372692 835 724 1083 1176 845 905 1966 1381 3410 1570 1336 432
ENSG00000164985 chr9 15464066 15511019 5625 3029 1905 1139 652 2830 6957 5471 6005 2629 1862 2837
ENSG00000164989 chr9 15552897 16061663 152 64 52 44 27 590 86 84 119 80 78 254
ENSG00000165006 chr9 34179005 34252523 4280 2636 2827 3160 2812 1792 5121 3892 5818 3358 4217 1511
ENSG00000165025 chr9 90801787 90898549 686 244 179 138 87 125 84 78 74 36 19 7
ENSG00000165028 chr9 104764157 104777457 10 13 15 11 3 17 43 29 80 74 44 9
ENSG00000165029 chr9 104781002 104928237 1125 689 693 566 386 186 798 566 876 390 320 67
ENSG00000165030 chr9 91409045 91423862 1033 356 218 158 355 665 310 295 369 197 773 944
ENSG00000165046 chr8 38386207 38409527 537 305 418 272 87 65 584 526 1095 448 190 128
ENSG00000165055 chr7 128476729 128506602 203 120 234 592 1217 2461 333 242 842 967 2281 2469
ENSG00000165060 chr9 69035259 69100178 558 269 169 219 460 1298 690 513 641 414 914 1147
ENSG00000165071 chr8 132685007 132760712 2102 814 1816 1715 1371 240 2682 1981 7027 4320 4570 261
ENSG00000165072 chr9 70043581 70226970 16 9 6 14 1 2 10 20 15 9 6 3
ENSG00000165078 chr8 67422125 67746345 6 3 6 12 4 3 9 8 16 7 7 1
ENSG00000165091 chr9 72521801 72836351 16 4 4 7 5 2 23 10 42 14 9 2
ENSG00000165092 chr9 72900662 73080442 118 24 11 11 6 0 11 4 3 2 8 0
ENSG00000165113 chr9 83739421 83829516 486 253 244 228 132 99 574 444 1045 509 352 91
ENSG00000165118 chr9 83938311 83956986 11 5 4 14 25 506 9 9 19 27 45 428
ENSG00000165119 chr9 83968083 83980616 16701 5286 5434 7176 10582 26729 16764 13524 20714 19298 31588 38510
ENSG00000165121 chr9 85805359 85849542 315 139 246 170 139 167 385 321 777 322 271 112
ENSG00000165124 chr9 110365251 110579880 1 3 4 5 2 2 7 0 0 1 4 5
ENSG00000165125 chr7 142871203 142885762 0 1 0 2 0 1 9 0 2 0 0 0
ENSG00000165138 chr9 98731329 98796965 413 158 130 118 261 911 339 233 312 200 628 953
ENSG00000165140 chr9 94603133 94640249 142 48 24 16 11 19 47 51 28 25 15 7
ENSG00000165152 chr9 101473171 101533537 4 1 2 0 2 3 9 0 10 1 0 5
ENSG00000165168 chrX 37780011 37813461 1487 275 193 140 131 236 10 18 10 11 15 2
ENSG00000165169 chrX 37836757 37847637 1208 372 376 549 589 350 990 901 1286 1351 1649 313
ENSG00000165171 chr7 73834590 73842535 15 11 12 1 1 11 7 1 10 5 2 9
ENSG00000165185 chr9 112486847 112669397 846 583 684 413 317 1203 1334 921 2072 764 719 921
ENSG00000165186 chrX 23334015 23404372 1 2 2 6 7 4 1 2 6 3 19 22
ENSG00000165192 chrX 15281697 15315656 13 5 5 0 1 0 27 9 9 3 2 0
ENSG00000165195 chrX 15319451 15335580 2815 1228 1086 463 263 580 3122 2179 2709 996 529 735
ENSG00000165209 chr9 123109500 123268576 897 379 826 1286 1285 3280 1009 678 2667 1886 2883 3055
ENSG00000165219 chr9 125261794 125367207 4965 3215 3231 2474 2061 4583 7609 5777 8933 4516 3659 3887
ENSG00000165233 chr9 93096218 93113283 1549 520 369 364 223 578 1013 793 1082 541 368 517
ENSG00000165238 chr9 93184916 93320572 4 8 3 17 47 211 7 10 8 8 96 176
ENSG00000165240 chrX 77910656 78050395 1136 867 1055 788 522 747 2462 1758 3172 1641 1622 547
ENSG00000165244 chr9 96385941 96418329 331 190 104 72 64 1404 476 356 402 185 186 1517
ENSG00000165246 chrY 14522638 14845650 2 1 0 1 0 0 64 50 126 73 104 99
ENSG00000165259 chrX 84317874 84502479 84 55 134 144 125 240 82 81 198 89 128 85
ENSG00000165264 chr9 32552999 32573184 519 235 166 128 146 767 576 412 544 352 437 865
ENSG00000165269 chr9 33383179 33402682 4 3 0 1 0 0 8 1 6 4 0 0
ENSG00000165271 chr9 33461441 33473930 796 353 489 1000 2946 4094 1391 931 1904 2041 5623 6468
ENSG00000165272 chr9 33441154 33447611 1205 361 387 410 496 93 767 621 1091 994 1014 118
ENSG00000165275 chr9 37753803 37778972 190 94 159 204 251 366 237 158 572 379 407 389
ENSG00000165280 chr9 35056064 35073249 4204 2072 2437 2673 3495 16863 5972 4299 7087 5331 6733 16578
ENSG00000165282 chr9 35088688 35096601 346 113 156 165 227 386 585 434 857 524 559 806
ENSG00000165283 chr9 35099776 35103195 563 140 124 166 396 3886 378 384 505 414 934 4712
ENSG00000165288 chrX 80670854 80809688 3061 1742 1903 1653 1081 1717 4502 3345 6439 2988 2715 1330
ENSG00000165304 chr9 36572862 36677683 48 32 15 12 4 1018 47 32 61 21 16 732
ENSG00000165309 chr10 22928024 23038523 8 6 6 2 0 0 15 10 41 20 7 0
ENSG00000165312 chr10 23439458 23442390 1254 536 454 287 387 268 1270 1049 1110 496 562 244
ENSG00000165323 chr11 92352096 92896470 1 0 1 3 1 0 2 1 4 1 0 3
ENSG00000165338 chr10 91409280 91514829 46 39 48 97 161 610 139 85 285 154 510 350
ENSG00000165355 chr14 39397669 39432500 4210 2946 1698 803 429 686 6330 5050 4819 1591 828 686
ENSG00000165359 chrX 135520659 135582510 1615 1202 1893 1765 1312 1741 3430 2630 6638 3450 3588 1639
ENSG00000165379 chr14 41607570 41904549 0 1 2 2 0 28 3 3 0 3 7 34
ENSG00000165406 chr10 45454585 45594906 3141 1650 1577 1157 590 411 4295 3341 4653 2163 1145 392
ENSG00000165409 chr14 80954989 81146302 30 7 6 13 13 17 8 11 44 16 14 9
ENSG00000165416 chr13 52652709 52700909 1139 608 530 728 568 2566 1518 1042 1706 1388 1528 3039
ENSG00000165417 chr14 81175452 81221377 1003 400 442 541 522 1846 1208 858 2222 1314 1434 2254
ENSG00000165424 chr10 79382325 79445627 86 66 149 106 59 28 129 106 306 120 100 25
ENSG00000165434 chr11 74330318 74398473 408 263 512 1168 1584 385 1133 790 2501 2595 4145 640
ENSG00000165449 chr10 59650761 59736002 3 1 2 4 7 32 1 0 6 0 4 64
ENSG00000165458 chr11 72223701 72239105 1105 476 676 634 547 1731 1981 1427 2523 1202 838 2431
ENSG00000165474 chr13 20187470 20192898 0 0 7 9 18 133 0 0 1 2 7 119
ENSG00000165475 chr13 20403667 20525857 490 171 140 97 81 145 425 300 460 204 160 184
ENSG00000165476 chr10 63521363 63625123 511 197 406 419 467 959 523 433 1189 782 977 1011
ENSG00000165480 chr13 21153595 21176602 78 18 10 12 4 445 8 21 18 15 17 447
ENSG00000165487 chr13 21492691 21604214 1993 1135 1220 1175 1061 2396 3151 2292 4626 2161 2907 1948
ENSG00000165490 chr11 82899975 82958277 81 50 85 43 40 1134 74 48 273 113 89 1295
ENSG00000165494 chr11 83156988 83187451 3585 1623 1622 2074 2486 3007 4842 3709 6518 4594 5366 3066
ENSG00000165495 chr11 125164687 125433389 5 6 34 34 13 1 16 3 32 16 11 2
ENSG00000165501 chr14 49598697 49614672 205 53 118 87 97 653 195 163 329 250 308 635
ENSG00000165502 chr14 49618519 49620685 4155 1000 957 1110 1279 2159 1965 1740 2615 2473 2645 2479
ENSG00000165506 chr14 49625174 49635230 280 177 314 218 139 485 397 304 785 376 288 496
ENSG00000165511 chr10 44997698 45000888 0 0 0 6 2 13 2 4 3 2 1 8
ENSG00000165516 chr14 49767608 49786385 2416 1147 817 553 257 433 3806 2618 3453 1735 841 495
ENSG00000165521 chr14 88612431 88792752 270 152 142 242 966 1288 335 207 621 393 1615 841
ENSG00000165526 chr11 126202094 126211692 453 257 281 527 870 1311 528 513 1094 886 2112 1427
ENSG00000165548 chr14 77116568 77259495 53 27 27 27 19 52 44 29 32 18 33 51
ENSG00000165555 chr14 77394021 77423517 16 10 17 31 22 76 23 18 70 68 65 35
ENSG00000165568 chr10 4786629 4848062 358 77 71 83 63 288 261 202 233 215 175 251
ENSG00000165591 chrX 57286706 57489196 1380 831 1427 2125 1814 489 2750 2116 6045 3125 3251 347
ENSG00000165617 chr14 58633967 58648321 49 11 31 64 181 68 107 47 179 196 265 132
ENSG00000165626 chr10 13438484 13528974 3 3 4 1 2 0 7 5 10 4 2 4
ENSG00000165629 chr10 7788129 7807815 4419 1150 951 1042 1321 4727 2828 2518 3497 2795 3112 6070
ENSG00000165630 chr10 13586927 13630868 1271 545 579 436 513 949 1741 1214 1996 944 1272 858
ENSG00000165632 chr10 7818504 8016627 2092 1304 1891 2129 2188 3102 3390 2465 6302 2808 4194 2075
ENSG00000165633 chr10 49014245 49115509 1 1 2 2 3 5 7 1 9 14 18 11
ENSG00000165637 chr10 75210154 75231448 2219 919 713 838 897 2981 2518 1739 2243 1440 2119 3190
ENSG00000165644 chr10 75233969 75236030 90 18 22 13 42 226 85 33 91 62 60 280
ENSG00000165646 chr10 117241093 117279430 14 2 6 4 1 6 23 8 32 16 10 7
ENSG00000165650 chr10 117277274 117375467 2897 1319 1088 1031 1341 1957 2891 2098 3455 1728 2439 1632
ENSG00000165660 chr10 124801785 124836670 557 263 263 389 428 810 746 584 1223 1014 1007 1150
ENSG00000165661 chr9 136206333 136245841 478 269 339 550 1273 1465 969 706 1348 922 3046 1508
ENSG00000165671 chr5 177133025 177300215 4347 2044 1663 1374 1520 6241 5748 4309 5929 3021 3562 5575
ENSG00000165672 chr10 119167703 119178833 268 85 156 207 473 4334 266 175 366 513 1118 4082
ENSG00000165675 chrX 130623369 130903317 395 186 252 468 608 2441 565 433 1215 763 1315 1615
ENSG00000165684 chr9 136375577 136400168 204 112 176 319 825 1872 381 304 759 555 1629 2333
ENSG00000165688 chr9 136410570 136423761 800 433 469 851 1373 2163 1327 1065 1910 1772 3063 2283
ENSG00000165689 chr9 136401922 136410609 373 112 116 233 376 1173 343 269 675 589 864 1716
ENSG00000165695 chr9 132725578 132878777 17 4 3 12 2 18 9 4 8 8 5 11
ENSG00000165698 chr9 132878027 132890201 21 7 6 7 10 27 5 10 19 5 3 24
ENSG00000165704 chrX 134460153 134520513 595 195 224 317 638 2174 510 507 626 536 1623 2293
ENSG00000165714 chr12 12357079 12469694 2297 1342 1574 927 670 1410 3506 2693 5558 1570 1391 912
ENSG00000165716 chr9 136712570 136724050 18 1 7 10 3 6 14 14 8 7 7 0
ENSG00000165724 chr9 137582079 137590490 68 30 51 105 267 1020 144 55 204 238 541 1234
ENSG00000165730 chr10 68827541 68895432 70 32 62 58 52 71 30 36 169 63 58 68
ENSG00000165731 chr10 43077027 43130351 5 0 1 2 0 1 1 3 3 1 4 0
ENSG00000165732 chr10 68956128 68985073 10356 4099 4197 6528 13540 23759 10597 8047 12961 13382 36566 26642
ENSG00000165733 chr10 42782801 42834937 1849 1100 1159 1571 2243 5173 3296 2602 4530 2696 5653 6609
ENSG00000165752 chr10 132207492 132331847 155 123 183 198 313 606 351 267 628 321 569 602
ENSG00000165757 chr10 30012800 30115494 1 1 0 1 0 2 1 2 6 1 0 1
ENSG00000165775 chrX 155025980 155060303 914 336 509 744 974 1893 915 868 1518 1690 2619 1916
ENSG00000165782 chr14 20457719 20461612 1695 667 777 516 431 756 2289 1806 2933 1375 905 971
ENSG00000165792 chr14 20989770 20997035 924 477 510 564 616 2227 1727 1316 2224 1338 1307 2734
ENSG00000165795 chr14 21016763 21070872 592 233 241 186 93 121 697 564 824 448 107 225
ENSG00000165801 chr14 21070270 21090240 178 74 123 79 55 3 128 93 188 89 43 3
ENSG00000165802 chr9 137447570 137459334 1387 534 635 460 720 1079 1969 1521 2303 913 1593 2789
ENSG00000165804 chr14 21090046 21104722 377 152 179 189 87 209 333 277 596 246 83 154
ENSG00000165805 chr12 87980035 88034037 0 0 2 0 1 6 2 0 8 1 1 3
ENSG00000165806 chr10 113679162 113730907 560 289 186 248 362 331 644 531 618 407 609 273
ENSG00000165807 chr14 64549902 64589380 7 4 4 5 3 2 8 12 15 4 19 6
ENSG00000165813 chr10 114120862 114174220 2736 1176 993 731 649 842 3195 2450 3372 1853 1778 835
ENSG00000165819 chr14 21498133 21511375 514 238 304 382 455 1760 478 459 987 676 1119 1758
ENSG00000165821 chr14 21521081 21537216 143 32 49 22 18 34 84 58 87 23 15 40
ENSG00000165832 chr10 114938193 114977676 265 131 146 164 243 848 408 373 721 471 679 955
ENSG00000165861 chr14 72969451 73027212 590 296 399 526 478 396 723 591 1081 645 630 304
ENSG00000165868 chr10 116671192 116849741 20 8 14 14 8 13 9 20 44 25 19 17
ENSG00000165874 chr10 46610474 46652025 2 1 3 3 5 5 2 9 8 5 6 2
ENSG00000165879 chr10 97319267 97321915 423 160 150 68 51 22 405 282 443 134 68 17
ENSG00000165886 chr10 97498868 97571209 69 61 130 154 264 159 91 59 371 198 295 70
ENSG00000165891 chr12 77021247 77065580 17 8 14 7 12 160 5 6 21 14 8 107
ENSG00000165895 chr11 100687653 100991937 13 8 11 30 38 30 6 1 28 15 39 16
ENSG00000165898 chr14 74493720 74497106 308 83 81 86 87 422 282 228 296 207 168 424
ENSG00000165905 chr11 45921621 45929096 113 17 14 6 24 169 36 47 75 16 15 43
ENSG00000165914 chr14 90524564 90816479 127 83 77 73 82 339 121 98 114 37 100 236
ENSG00000165923 chr11 47659591 47715389 81 20 31 33 26 74 68 51 90 85 69 78
ENSG00000165929 chr14 91779751 91867536 6717 3308 2705 2620 1785 926 11646 8418 12410 6494 6121 1125
ENSG00000165934 chr14 92121937 92172145 634 246 296 553 638 3710 1003 817 1846 1533 2158 5077
ENSG00000165943 chr14 93182196 93184928 1852 481 462 322 260 221 1268 1020 1222 656 458 232
ENSG00000165948 chr14 94081282 94103846 166 73 77 72 46 305 171 136 246 111 64 188
ENSG00000165949 chr14 94104836 94116698 31 2 16 4 7 58 21 16 26 6 9 23
ENSG00000165959 chr14 95181940 95319906 207 100 129 132 91 54 41 24 93 46 52 52
ENSG00000165972 chr12 95867048 95942974 16 12 8 6 5 7 13 24 16 9 7 22
ENSG00000165983 chr10 16436943 16513745 483 232 253 215 256 1295 491 402 625 303 485 1104
ENSG00000165995 chr10 18140677 18541869 29 23 25 41 11 2 24 15 52 29 10 4
ENSG00000165996 chr10 17589032 17617377 26 6 16 22 38 41 16 13 68 52 45 46
ENSG00000165997 chr10 18659405 18681639 847 475 1597 1555 1154 718 1131 853 3885 3288 2758 996
ENSG00000166002 chr11 93478472 93543508 95 55 53 81 116 432 62 33 86 51 90 209
ENSG00000166004 chr11 93661639 93730358 1344 574 604 497 352 2129 1464 1085 2186 1125 890 1746
ENSG00000166012 chr11 93729948 93784391 6775 2686 2890 2830 4152 10478 5474 4296 8509 5644 11524 10403
ENSG00000166016 chr11 34150988 34358008 190 209 676 990 1326 737 327 239 1546 831 2870 486
ENSG00000166024 chr10 98134624 98244897 1992 1195 1025 1139 1084 1985 3457 2366 3824 1768 2430 1319
ENSG00000166025 chr11 94706431 94876753 36 13 16 14 8 24 36 18 27 18 34 34
ENSG00000166035 chr15 58410569 58569843 30 18 19 8 6 14 68 51 112 34 80 13
ENSG00000166037 chr11 95789965 95832693 3443 1189 1198 916 678 2004 3146 2429 4101 2322 1806 2192
ENSG00000166046 chr12 106301929 106347015 5190 2311 2806 1855 757 94 6447 4837 8941 4346 1950 111
ENSG00000166068 chr15 38252326 38357249 24 16 39 35 78 215 15 11 40 25 68 253
ENSG00000166073 chr15 39799032 39920892 1 1 3 4 2 14 1 1 7 3 7 3
ENSG00000166086 chr11 134068925 134152001 601 553 1045 673 449 821 1171 893 2869 934 802 632
ENSG00000166105 chr11 134274245 134319564 59 36 91 105 96 293 102 66 271 112 218 203
ENSG00000166123 chr16 46884378 46931297 9 1 10 19 277 257 7 10 12 22 294 218
ENSG00000166126 chr14 102922656 102933596 37 17 10 46 94 70 34 31 65 44 85 25
ENSG00000166128 chr15 63189469 63267782 11277 6904 10034 15224 12853 7563 16041 11899 22875 18412 31173 8951
ENSG00000166130 chr12 98613405 98645113 82 41 62 93 105 476 80 55 179 125 214 466
ENSG00000166133 chr15 40569300 40574943 258 57 44 84 119 328 213 157 225 128 242 417
ENSG00000166135 chr10 100529072 100559998 810 430 619 1009 1071 1815 1292 984 2565 1700 2171 1982
ENSG00000166136 chr10 100523740 100530000 1520 510 559 522 825 2136 1617 1087 1531 1079 1312 2095
ENSG00000166140 chr15 40807086 40815084 252 78 93 242 371 682 150 120 307 388 629 780
ENSG00000166145 chr15 40844018 40858207 56 21 2 33 100 392 3 12 59 76 164 401
ENSG00000166147 chr15 48408306 48645849 23 7 6 14 12 96 11 6 10 0 1 45
ENSG00000166153 chr12 100203669 100267079 16 14 20 9 20 95 10 12 20 3 15 36
ENSG00000166164 chr16 50313487 50368934 3729 1715 1536 1565 1665 2797 2951 2338 3973 2233 3311 3420
ENSG00000166165 chr14 103519659 103523111 41 10 45 45 74 144 43 34 96 65 68 113
ENSG00000166166 chr14 103529184 103537073 126 51 43 193 679 778 149 131 221 316 1074 987
ENSG00000166167 chr10 101354033 101557321 1340 1164 1170 1713 1480 2370 2736 2029 3884 2226 2855 1586
ENSG00000166169 chr10 101578882 101588270 516 173 206 176 244 747 569 478 693 421 432 777
ENSG00000166170 chr14 103556544 103562831 1453 390 368 414 635 1071 1083 940 1201 1034 1390 1230
ENSG00000166171 chr10 101570560 101609668 40 28 29 13 6 203 7 5 19 9 5 161
ENSG00000166183 chr14 104085679 104115581 1 0 2 3 0 2 8 2 2 2 3 1
ENSG00000166188 chr16 57994668 58000453 294 98 69 69 62 118 249 122 176 99 99 216
ENSG00000166192 chr15 72114258 72143688 6 4 10 23 7 75 7 8 43 45 46 80
ENSG00000166199 chr11 43880811 43920266 564 248 285 366 325 1270 646 574 1073 643 762 1376
ENSG00000166206 chr15 26543546 26939539 9 2 6 10 8 8 5 2 8 4 4 4
ENSG00000166224 chr10 70815961 70881173 1012 419 373 964 2053 4912 1397 976 1585 1454 3665 3743
ENSG00000166225 chr12 69470349 69579789 2120 1004 1180 1188 1055 1484 2835 1982 3611 1716 2362 1018
ENSG00000166226 chr12 69585334 69601570 2671 1276 1271 1734 3516 12053 3593 2929 4685 4682 10037 15814
ENSG00000166228 chr10 70882280 70888784 83 21 24 8 21 317 60 42 56 46 34 423
ENSG00000166233 chr15 72474326 72602985 10409 9398 10973 6583 4702 4257 25097 18178 29755 12493 9759 4276
ENSG00000166246 chr16 4734272 4749396 3 1 1 2 1 7 5 0 2 5 7 3
ENSG00000166260 chr17 54951902 54968785 428 105 101 118 133 710 370 264 641 465 390 914
ENSG00000166261 chr11 123724177 123741675 200 62 133 376 654 835 288 257 722 714 1688 933
ENSG00000166262 chr15 49326962 49620931 166 21 42 79 49 156 109 90 272 154 169 129
ENSG00000166263 chr17 54968727 55173632 211 96 112 133 244 1215 354 229 509 295 579 665
ENSG00000166265 chr21 26466209 26573284 10 2 2 3 4 0 6 6 7 0 1 1
ENSG00000166266 chr11 108008733 108107776 2336 1356 1484 1419 1472 3038 4157 2847 5244 2569 4107 2868
ENSG00000166268 chr12 69825304 69959097 2 1 1 4 5 33 13 12 16 12 17 16
ENSG00000166272 chr10 102743970 102816267 320 202 540 1224 925 1195 450 347 2578 1825 1608 819
ENSG00000166275 chr10 102854223 102864961 201 82 61 55 98 212 187 138 227 191 278 177
ENSG00000166278 chr6 31897785 31945672 239 139 131 63 54 140 622 393 619 249 188 204
ENSG00000166289 chr19 29665056 29675457 342 93 118 135 105 271 269 171 480 378 261 344
ENSG00000166295 chr10 72216000 72235860 1534 385 426 610 825 1912 752 635 1821 1289 2207 2086
